employee_id,name,age,role,department,salary,skills,interest,certification,PSA courses attended,job history,years of experience
1,Talia,46,Shipping and Receiving Clerk [Operations],[Operations],7870.12,"Technical expertise, Software development, Maritime regulations","Marine technology, Sustainability",Bachelor of Environmental Studies [Degree],Adaptability,Environmental Compliance Officer,10
2,Carlin,60,Recruitment Specialist [HR],[HR],11685.54,"Problem-solving, Safety protocols, Project management","Marine technology, Sustainability",Bachelor of Environmental Studies [Degree],Interpersonal Skills,Docking Pilot,5
3,Nolly,62,Vessel Traffic Services Operator [Operations],[Operations],2616.99,"Problem-solving, Project management, Maritime regulations","Safety improvement, Process optimization",Sports Science and Management [Degree],Critical Thinking,Inventory Manager,3
4,Savina,18,Employee Relations Officer [HR],[HR],2365.66,"Software development, Project management, Safety protocols","Engineering innovation, Sustainability",Bachelor of Engineering with Honours in Naval Architecture [Degree],Critical Thinking,Logistics Coordinator,18
5,Irma,24,Recruitment Specialist [HR],[HR],11325.64,"Maritime regulations, Technical expertise, Project management","Technology advancements, Process optimization",Biological and Biomedical Sciences [Degree],Financial Literacy,Supply Chain Analyst,1
6,Rubin,26,Vessel Traffic Services Operator [Operations],[Operations],9961.9,"Problem-solving, Maritime regulations, Technical expertise","Software development, Marine technology",Bachelor of Engineering (Environmental Engineering) [Degree],Leadership Skills,Business Analyst,3
7,Anna,42,Compliance Officer [Admin],[Admin],3175.34,"Leadership, Problem-solving, Safety protocols","Process optimization, Engineering innovation",Bachelor of Science in Marketing [Degree],Financial Literacy,Transportation Planner,7
8,Justis,29,Logistics Coordinator [Operations],[Operations],11933.32,"Software development, Communication, Safety protocols","Software development, Sustainability",Bachelor of Science (Diagnostic Radiography) [Degree],Critical Thinking,Operations Manager,10
9,Daveta,20,Employee Relations Officer [HR],[HR],11382.48,"Maritime regulations, Software development, Safety protocols","Supply chain efficiency, Process optimization",Biological Sciences and Psychology [Degree],Business Presentations,Procurement Specialist,20
10,Cariotta,34,Financial Analyst [Finance],[Finance],11903.74,"Technical expertise, Leadership, Safety protocols","Software development, Sustainability",Bachelor of Engineering with Honours in Mechanical Engineering [Degree],Leadership Skills,Safety Officer,10
11,Meredeth,27,Harbour Master [Operations],[Operations],9241.13,"Project management, Communication, Technical expertise","Engineering innovation, Safety improvement",Bachelor of Engineering with Honours in Electrical Power Engineering [Degree],Leadership Skills,Safety Officer,7
12,Kirk,26,IT Infrastructure Specialist [IT],[IT],3597.49,"Maritime regulations, Technical expertise, Leadership","Engineering innovation, Technology advancements",Bachelor of Arts with Honours [Degree],Leadership Skills,Docking Pilot,8
13,Quill,19,Recruitment Specialist [HR],[HR],4571.19,"Safety protocols, Problem-solving, Software development","Software development, Safety improvement",Bachelor of Engineering (Engineering Systems and Design) [Degree],Leadership Skills,Safety Officer,10
14,Vite,23,Shipping and Receiving Clerk [Operations],[Operations],5550.62,"Project management, Safety protocols, Leadership","Sustainability, Process optimization",Banking & Finance [Diploma],Business Presentations,Supply Chain Analyst,15
15,Pierette,20,Budget Officer [Finance],[Finance],8157.98,"Project management, Leadership, Maritime regulations","Supply chain efficiency, Software development",Bachelor of Arts [Degree],Leadership Skills,Maritime Engineer,8
16,Noak,44,IT Infrastructure Specialist [IT],[IT],9065.94,"Project management, Technical expertise, Communication","Sustainability, Engineering innovation",Bachelor of Science in Electrical Engineering & Information Technology [Degree],Time Management,Freight Forwarder,6
17,Perice,50,Employee Relations Officer [HR],[HR],4499.71,"Project management, Problem-solving, Safety protocols","Software development, Marine technology",Bachelor of Arts (Industrial Design) [Degree],Management Skills,Freight Forwarder,6
18,Risa,18,Human Resource Development Specialist [HR],[HR],8210.1,"Project management, Technical expertise, Communication","Engineering innovation, Safety improvement",Engineering with Business [Diploma],Emotional Intelligence,Logistics Coordinator,16
19,Laurice,37,Budget Officer [Finance],[Finance],8973.21,"Safety protocols, Technical expertise, Maritime regulations","Technology advancements, Marine technology",Bachelor of Science (Project and Facilities Management) [Degree],Financial Literacy,Equipment Operator,10
20,Felita,38,Harbour Master [Operations],[Operations],9077.21,"Software development, Project management, Communication","Engineering innovation, Safety improvement",Economics (Cum Laude and above) [Degree],Management Skills,Safety Officer,17
